,Название,Дата начала,Дата окончания,Статус,Организатор
130," Заявка на приобретение услуг по техническому обслуживанию печатного оборудования, согласно заявке №7/21 от 20.01.21г.",20.01.2021 15:15,25.01.2021 15:16,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
131," Заявка на приобретение хозяйственных товаров для обслуживания корпусов ДМиС, согласно заявке № 6/21 ОТ 18.01.2021",19.01.2021 17:15,22.01.2021 17:16,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
132," Закупка ручных пылесосов, согласно заявке № /14 ОТ 14.01.2021",18.01.2021 09:30,21.01.2021 09:30,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
133," Закупка питьевой воды (бутыль - 19л.; 0,5л. (стекло)) для сотрудников АО ""КБТУ"", согласно заявке № 1/21 от 12.01.2021г.",14.01.2021 17:00,19.01.2021 17:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
134, Закуп товара согласно заявке № /13 ОТ 14.01.2021,14.01.2021 17:00,19.01.2021 17:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
135," Закупка работ по техническому обслуживанию и ремонту автотранспортных средств, согласно заявке № 2/21 от 13.01.2021г.",14.01.2021 16:45,19.01.2021 16:45,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
136," Закупка услуг по вывозу снега (с погрузкой) и строительного мусора (ЭХД), согласно заявке от 13.01.2021г.",13.01.2021 15:00,18.01.2021 15:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
137," Закуп товара по проекту ГФ № AP08857306, согласно заявке №264Т от 20.12.2020г.",21.12.2020 10:30,24.12.2020 10:30,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
138," Закуп товара (дизельное топливо и бензин) для ЭХД, КМА и ДМиС, согласно заявке №257Т от 15.12.2020г.",20.12.2020 17:50,23.12.2020 17:50,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
139," Закупка услуг автомойки служебного транспорта (ЭХД), согласно заявке № 2592 У от 15.12.2020г.",20.12.2020 17:00,23.12.2020 17:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
140," Закуп товара по проекту НИР ИРН AP08856031, согласно заявке №258Т от 15.12.20",20.12.2020 16:00,23.12.2020 16:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
141," Закуп товара для Сектора коммерциализации ПЦФ № BR05236800 № 208 от 19 марта 2018 г., согласно заявки №256Т от 14.12.2020",20.12.2020 16:00,23.12.2020 16:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
142, Приобретение литературы для ФИТ на весенний семестр 2020-2021 г. согласно заявке № 233 Т от 07.12.2020г.,15.12.2020 11:00,22.12.2020 11:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
143," Приобретение литературы для БШ на 2020-2021 учебный год, согласно заявке № 234 Т от 07.12.2020г.",15.12.2020 11:00,22.12.2020 11:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
144," Закуп оборудования: Микроволновая система синтеза UWAVE-2000, согласно заявке 245 Т от 11.12.2020г.",11.12.2020 17:00,20.12.2020 17:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
145," Приобретения насосов для ДМиС, согласно заявке 244 Т от 10.12.2020г.",11.12.2020 17:00,20.12.2020 17:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
146, Закупка товаров для плотника ЭХД,11.12.2020 16:00,20.12.2020 16:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
147," Ремонт и калибровка двух микротвердомеров ПМТ-3М,  согласно заявке  №192У от 02.11.20",11.12.2020 16:00,14.12.2020 16:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
148," Закупка товаров для НС НОЦ Материаловедения и проблем коррозии, по заявке №230Т от 07.12.20",10.12.2020 10:30,15.12.2020 10:30,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
149," Закуп спецодежды для работы в мастерских КМА,  согласно заявке № 226 Т от 02.12.2020г.",09.12.2020 12:20,14.12.2020 12:30,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
150," Приобретение литературы для БШ на 2020-2021 учебный год, согласно заявке № 234 Т от 07.12.2020г.",09.12.2020 12:00,14.12.2020 12:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
151, Приобретение литературы для ФИТ на весенний семестр 2020-2021 г. согласно заявке № 233 Т от 07.12.2020г.,09.12.2020 00:00,12.12.2020 00:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
152," Расходные материалы для ИЦ, согласно заявке №235Т от 07.12.20г.",07.12.2020 17:30,10.12.2020 17:31,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
153," Услуги по проведению институциональной и специализированной аккредитаций, в соответствии с заявкой ДИиСР № 219-У от 25.11.2020г.",04.12.2020 12:30,09.12.2020 12:30,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
154," Закуп картриджей согласно заявке ""Компоненты и материалы по НИР"" от 04.12.2020",04.12.2020 00:00,09.12.2020 16:30,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
155, Закупк услуг  организации перевозок грузов по международным маршрутам,27.11.2020 16:00,03.12.2020 16:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
156," Закупка товаров (хим. реактивы)  и услуг по покраске алюминиевого профиля для НОЦ АЭиН , согласно заявке № 218 Т и У от 25.11.2020г.",27.11.2020 14:00,03.12.2020 14:01,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
157," Закупка услуг по организации кофе-брейков и бизнес-ланчей в г. Актау, согласно заявке № 186 У от 30.10.2020г.",24.11.2020 15:30,27.11.2020 15:30,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
158, Папки подвесные пластиковые для ОР,24.11.2020 14:30,27.11.2020 14:31,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
159, Закупка услуг по оформлению стендов,24.11.2020 00:00,27.11.2020 00:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
160," Закупка товаров для сектора коммерциализации, согласно заявке № 215 Т от 20.11.2020г.",20.11.2020 17:00,25.11.2020 17:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
161, Закуп товаров для ДВС,20.11.2020 16:10,25.11.2020 16:11,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
162, Компьютерная техника для ФГиГ,20.11.2020 11:00,25.11.2020 11:01,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
163, Закуп товаров Ноутбук Xiaomi RedmiBook 16  по заявке 174 Т от 10.11.2020 г.,19.11.2020 16:00,24.11.2020 16:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
164, Закуп медицинских масок и одноразовых перчаток,19.11.2020 15:55,24.11.2020 15:56,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
165, Закуп оборудования по проекту AP05130019,17.11.2020 17:00,20.11.2020 17:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
166, Закупка химических реактивов и посуды НОЦ ХИ,16.11.2020 16:00,19.11.2020 16:01,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
167," Закупка услуг по подписке к облачному решению Мicrosoft Project Plan 3 for faculty для ДИТ, согласно заявке № 200 У от 11.11.2020г.",11.11.2020 00:00,16.11.2020 17:30,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
168," Закупка товара для НОЦ МиПК , согласно заявке № 198 Т от 09.11.2020г.",10.11.2020 15:00,13.11.2020 15:01,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
169, Закуп оборудования по проекту НИР Система GPC- Agress 1100 GPC System,10.11.2020 11:00,13.11.2020 11:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
170," Закупка товаров для ДИТ, согласно заявке № 199 Т от 10.11.2020г.",10.11.2020 10:00,13.11.2020 10:01,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
171, Закуп картриджей на цветные принтера,05.11.2020 10:00,10.11.2020 10:01,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
172, Закуп вышки тура и метеостанции цифровой WH1081 для обслуживания ветрогенератора,04.11.2020 11:00,09.11.2020 11:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
173, Ремонт и калибровка двух микротвердомеров ПМТ-3М,04.11.2020 11:00,09.11.2020 11:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
174," Закупка услуг по организации кофе-брейков и бизнес-ланчей, согласно заявке № 186 У от 30.10.2020г.",03.11.2020 17:40,06.11.2020 17:41,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
175, Закуп ноутбуков MSI Prestige 14 A10RSC-264XKZ для проекта №AP05133211,30.10.2020 16:00,03.11.2020 16:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
176, Закуп нагревательного столика TBK-568 for 12.6’’ Tablet heater 220V и силиконовой мембраны (Silicone membrane),30.10.2020 16:00,03.11.2020 16:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
177," Закуп Работ по подготовке площадки для оборудования лаборатории ФГиГ, согласно заявке № 182 Р от 27.10.2020г.",27.10.2020 14:32,30.10.2020 14:33,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
178, Закуп нового штампа,27.10.2020 12:10,30.10.2020 12:11,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
179, Закуп товара для Службы безопасности,23.10.2020 11:50,27.10.2020 11:50,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
180, Закупка услуг по созданию измерительного комплекса для проведения измерений в нанодиапазоне,23.10.2020 10:30,27.10.2020 10:30,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
181, Закуп ноутбуков MSI Prestige 14 A10RSC-264XKZ для проекта №AP05133211,21.10.2020 17:00,26.10.2020 17:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
182, Закуп товаров: ГАЗов и материалов для исследовательских работ,21.10.2020 17:00,26.10.2020 17:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
183, Канцелярские товары для АУП,21.10.2020 12:40,26.10.2020 12:41,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
184," Закупка услуг по медицинскому страхованию для афганских женщин, согласно заявке № 143 У от 02.10.2020г.",19.10.2020 17:49,22.10.2020 17:50,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
185, Закупк услуг  организации перевозок грузов по международным маршрутам,19.10.2020 17:00,22.10.2020 17:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
186," Закуп товара для ЭХД, согласно заявке № 162 Т от 14.10.2020г.",19.10.2020 11:49,22.10.2020 11:50,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
187, Приобретение запасов санитарных товаров для ДМиС,16.10.2020 16:20,20.10.2020 16:20,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
188, Компьютерная техника для ФГиГ,15.10.2020 17:20,20.10.2020 17:21,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
189, Флуоресцентная фотобумага  светящаяся Acmelight Glow Paper,14.10.2020 10:20,19.10.2020 10:21,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
190, Расходные материалы для ИЦ,13.10.2020 12:40,16.10.2020 12:41,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
191, Перезарядка огнетушителей в ДМиС,12.10.2020 15:00,15.10.2020 15:01,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
192, Компьютерная техника для ФГиГ,12.10.2020 14:45,15.10.2020 14:46,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
193, Закупка рекламных услуг по таргетированной рекламе,09.10.2020 11:00,13.10.2020 11:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
194, Закуп ГАЗов и материалов для исследовательских работ в НОЦАЭиН,09.10.2020 11:00,13.10.2020 11:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
195, Закуп аккумуляторов для портативных радиостанций в симуляторах КМА,09.10.2020 11:00,13.10.2020 11:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
196, Дезинфицирующее средство,05.10.2020 16:50,08.10.2020 16:51,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
197," Закупка услуг по проведению тренингов на базе ЕKK для кадетов 3 и 4 курса КМА, согласно заявке № 138 У от 29.09.2020г.",05.10.2020 14:00,08.10.2020 14:01,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
198, Материалы для реставрации насосов циркуляции доводчиков ЭХД,02.10.2020 11:20,07.10.2020 11:21,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
199," Закупка услуг по питанию кадетов 3 и 4 курса КМА, согласно заявке № 139 У от 29.09.2020г.",01.10.2020 11:00,06.10.2020 11:01,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
200, Закупка услуг по таргетированной рекламе для программы DBA ,29.09.2020 12:45,02.10.2020 12:46,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
201, Закуп услуги  по аутсорсингу персонала: для преподавания дисциплины «Английский язык» для студентов КБТУ,29.09.2020 12:41,02.10.2020 12:42,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
202, Закуп сантехнических материалов для осуществления ремонта санитарного (мужского) узла на пятом этаже,28.09.2020 15:30,01.10.2020 15:31,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
203, Закуп материалов для ДМиС,28.09.2020 14:00,01.10.2020 14:01,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
204," Закуп материалов для сварочных и токарных работ для НОЦАЭиН, на основании заявки №122Т от 15.09.20",25.09.2020 11:00,29.09.2020 11:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
205," Услуги по ремонту и сервисному обслуживанию служебного автотранспорта АО ""КБТУ"".",24.09.2020 15:25,29.09.2020 15:25,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
206, Заявка на поставку материалов для ДМиС согласно заявке №129Т от 21.09.20г.,22.09.2020 12:20,25.09.2020 12:21,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
207, Закуп сантехнических материалов для осуществления ремонта санитарного узла на пятом этаже согласно заявке №127Т от 21.09.20г.,21.09.2020 17:00,24.09.2020 17:01,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
208," Закуп электротоваров по заявке №120Т от 11.09.20, закуп материалов для грузчиков и плотников  №75Т от 06.08.20г.",18.09.2020 15:30,23.09.2020 15:30,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
209," Закуп материалов для сварочных и токарных работ для НОЦАЭиН, на основании заявки №122Т от 15.09.20",18.09.2020 11:00,23.09.2020 11:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
210," Заявка на закуп материалов/работ и услуг, по оформлению аудиторий 113-У от 10.09.2020",18.09.2020 11:00,23.09.2020 11:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
211," Закупка услуг по дизайну, печати и установке баннера для приемной комиссии и дезинфекционный туннель согласно заявке №107Т от 03.09.20",18.09.2020 10:30,23.09.2020 10:30,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
212, Закуп ноутбука согласно заявке №125 Т от 16.09.20г.,17.09.2020 10:10,22.09.2020 10:11,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
213," Закупка услуги по переносу пульта пожарной сигнализации (ДМиС), согласно заявке № 116 У от 11.09.2020г.",15.09.2020 09:30,18.09.2020 09:31,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
214," Закупка услуги по переносу пульта пожарной сигнализации (ДМиС), согласно заявке № 116 У от 11.09.2020г.",14.09.2020 11:40,17.09.2020 11:41,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
215, Электротовары для СБ согласно заявке №119Т от 11.09.20г.,11.09.2020 15:50,16.09.2020 15:51,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
216," Закупка услуги по поверке термопреобразователя прибора учета тепловой энергии  корпуса №1  (ДМиС), согласно заявке № 106 У от 03.09.2020г. поверке тепловых счетчиков ТВ7  (тепловычеслитель), РС-100 (расходометр подающий), РС-100 (расходометр обратный), КТ",11.09.2020 15:00,16.09.2020 15:01,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
217," Закупка товаров для НИИЛ НиКХ, согласно заявке № 103 Т от 03.09.2020г.",11.09.2020 12:00,16.09.2020 12:01,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
218," Закупка услуги по сервисному обслуживанию 10 прецизионных кондиционеров (ДИТ), согласно заявке №112 У от 09.09.2020г.",10.09.2020 14:00,15.09.2020 14:01,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
219, Закуп сантехнических материалов для осуществления ремонта санитарного узла на пятом этаже согласно заявке №110Т от 09.09.20г.,10.09.2020 09:20,15.09.2020 09:21,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
220, Закуп товара для Дома магистрантов и студентов согласно заявки №108Т от 07.09.2020,09.09.2020 12:55,14.09.2020 13:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
221," Закупка товаров для ДИТ, согласно заявке № 96 Т от 27.08.2020г.",08.09.2020 15:00,11.09.2020 15:01,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
222," Закупка услуги ускоренной почтовой связи (канцелярия), согласно заявке № 101 У от 01.09.2020г.",04.09.2020 10:00,09.09.2020 10:01,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
223," Закупка услуги по обслуживанию кондиционеров (ЭХД), согласно заявке № 102 У от 01.09.2020г.",04.09.2020 10:00,09.09.2020 10:01,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
224," Закуп аккумуляторных батарей и их замена, согласно заявке № 104 Т от 03.09.2020г.",03.09.2020 17:40,08.09.2020 17:45,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
225, Крестовина из нержавеющей стали по чертежам,03.09.2020 15:00,08.09.2020 15:01,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
226, Закуп оргстекла,03.09.2020 15:00,08.09.2020 15:01,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
227," Закупка товаров для ИЦ, согласно заявке № 100 Т от 01.09.2020г.",02.09.2020 10:00,07.09.2020 10:01,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
228," Закупка товаров для ДИТ, согласно заявке № 96 Т от 27.08.2020г.",28.08.2020 15:00,03.09.2020 15:01,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
229, Оборудование для ДИТ,27.08.2020 15:00,02.09.2020 15:01,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
