,Название,Дата начала,Дата окончания,Статус,Организатор
29," Закуп товара (Бидистиллятор BWD-A1.6D) для НОЦХИ,   АО ""КБТУ"", согласно заявке № 202/21 от 30.06.2021г.",02.07.2021 14:30,08.07.2021 14:30,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
30," Закуп товара: Источник бесперебойного питания, SVC, PT-6K-LCD, на основании заявки №201/21 от 01.07.2021г.",02.07.2021 12:00,07.07.2021 12:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
31," Закуп товара (кондиционеры оконный, бренда - Gree-12) для ЭХД,  АО ""КБТУ"", согласно заявке № 194/21 от 25.06.2021г.",30.06.2021 17:00,03.07.2021 17:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
32," Закуп товара (кондиционеры оконный, бренда - Gree-12) для ЭХД,  АО ""КБТУ"", согласно заявке № 196/21 от 28.06.2021г.",30.06.2021 16:35,03.07.2021 16:35,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
33," Закуп хладагента-фреонR22, на основании заявки ЭХД №199/21 от 30.06.2021г.",30.06.2021 16:20,03.07.2021 16:20,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
34," Закуп услуг по изготовлению печати для ДДО, согласно заявке №198/21 от 30.06.2021г.",30.06.2021 15:35,03.07.2021 15:36,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
35," Закуп картриджей для ДИТ, согласно заявке №195/21 от 25.06.2021г.",25.06.2021 15:00,30.06.2021 15:01,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
36," Закуп хозяйственных товаров для ЭХД, согласно заявке №175/21 от 25.06.2021г.",25.06.2021 14:15,30.06.2021 14:16,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
37," Закуп страховых полисов для КМА АО ""КБТУ"", согласно заявке № 182/21 от 18.06.2021г.",23.06.2021 17:10,28.06.2021 17:10,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
38," Закуп стульев и комплекта (диван и кресло) для ДМиС и мягкая мебель для ЭХД, согласно заявкам №184/21 ОТ 18.06.2021,№188/21 ОТ 21.06.2021",22.06.2021 10:15,25.06.2021 10:16,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
39," Услуги дижитал маркетинга (таргет реклама), на основании заявки № 185/21 ОТ 18.06.2021",21.06.2021 12:30,24.06.2021 12:30,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
40," Закуп гарнитуры для рации HYT TC-518 , согласно заявке №178/21 от 17.06.2021г.",17.06.2021 11:00,22.06.2021 11:01,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
41," Закуп на приобретение компьютера, мониторов для ФГиГ,  АО ""КБТУ"", согласно заявкам № 164/21 от 08.06.2021г. И № 170/21 от 10.06.2021г.",16.06.2021 16:25,21.06.2021 16:25,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
42," Закуп на приобретение канцелярских товаров для ДМиС, ЭХД, ДМиР, согласно заявкам № 163/21, 171/21, 173/21 от 10.06.21г.",11.06.2021 17:20,16.06.2021 17:21,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
43," Закуп товар для ДИСР, АО ""КБТУ"", согласно заявке № 168/21 от 10.06.2021г.",10.06.2021 14:10,15.06.2021 14:10,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
44," Закуп услуг по продлению лицензий программы М365, согласно заявке №167/21 от 09.06.2021г.",09.06.2021 15:10,14.06.2021 15:11,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
45," Приобретение компьютерного оборудования и материалов для ДИТ КБТУ, на основании заявки № 162/21 ОТ 09.06.2021",09.06.2021 12:30,14.06.2021 12:30,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
46," Закуп на приобретение компьютера, мониторов и программного обеспечения для ФГиГ,  АО ""КБТУ"", согласно заявке № 164/21 от08.06.2021г.",08.06.2021 17:40,11.06.2021 17:40,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
47," Закуп товар для ФЭиНИ, АО ""КБТУ"", согласно заявке № 135/21 от 21.05.2021г.",08.06.2021 16:20,11.06.2021 16:20,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
48," Заявка на приобретение мебели для Дома магистрантов и студентов, согласно заявке №161/21 от 04.06.2021г.",04.06.2021 16:30,09.06.2021 16:31,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
49," Приобретение услуг страхования и технического осмотра автотранспортных средств, На основании заявки № 148/21 ОТ 26.05.2021г.",27.05.2021 11:00,01.06.2021 11:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
50," Закуп фреона R-22 и фреонового масла, согласно заявке №147/21 от 26.05.2021г.",26.05.2021 17:30,31.05.2021 17:31,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
51," Закуп материалов для НОЦАЭН, согласно заявке № 143/21 от 24.05.2021г.",25.05.2021 10:00,28.05.2021 10:01,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
52, Приобретение литературы на основании заявки № 134/21 ОТ 19.05.2021,19.05.2021 11:40,24.05.2021 11:40,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
53," Закуп услуг по съемке видеоролика ""Фильм о КБТУ"", согласно заявке №132/21 от 17.05.2021г.",17.05.2021 17:00,20.05.2021 17:01,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
54," Закуп хоз.товаров и инвентаря для ДМиС АО ""КБТУ"", согласно заявке № 130/21 от 17.05.2021г.",17.05.2021 14:40,20.05.2021 14:40,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
55," Закуп товара для Лаборатории Robotix Факульета Информационных Технологий, на основании заявки 125/21 от 13.05.2021г.",14.05.2021 14:30,19.05.2021 14:30,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
56," Закупка услуг по ремонту и сервисному обслуживанию 10 прецизионных кондиционеров (ДИТ), согласно заявке №127/21 от 13.05.2021г.",13.05.2021 18:00,18.05.2021 18:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
57," Закуп расходных материалов и запасных частей для ИЦ, согласно заявке №128/21 от 13.05.2021г.",13.05.2021 15:20,18.05.2021 15:21,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
58," Заявка на закуп мебели и техники (моноблок) для ФИТ, согласно заявке №125/21 от 13.05.2021г.",13.05.2021 14:40,18.05.2021 14:41,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
59, Закуп лицензий Антивируса для серверов и рабочих станций. Согласно заявке № 129/21 ОТ 13.05.2021,13.05.2021 11:50,17.05.2021 11:50,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
60," Заявка на закуп услуг по установке системы видеонаблюдения, согласно заявке №124/21 от 12.05.2021г.",12.05.2021 12:30,17.05.2021 12:31,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
61," Заявка на закуп бесконтактной смарт-карты, пластиковых наклеек  и картриджа  для СБ, согласно заявке 124/21 от 12.05.2021г.",12.05.2021 12:00,17.05.2021 12:01,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
62," Закуп стульев для ДМиС АО ""КБТУ"", согласно заявке № 120/21 от 11.05.2021г.",11.05.2021 16:50,14.05.2021 16:50,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
63," Закуп услуг по чистке ковров и дорожек ДМиС, согласно заявке № 119/21 ОТ 11.05.2021",11.05.2021 16:30,14.05.2021 16:30,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
64," Закуп страховых полисов для КМА АО ""КБТУ"", согласно заявке № 117/21 от 05.05.2021г.",06.05.2021 16:00,13.05.2021 16:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
65," Закуп страховых полисов для КМА АО ""КБТУ"", согласно заявке № 117/21 от 05.05.2021г.",06.05.2021 00:00,09.05.2021 00:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
66," Закуп товара для НОЦАиЭН ""КБТУ"", согласно заявке № 114/21 от 30.04.2021г.",05.05.2021 14:00,12.05.2021 14:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
67," Заявка на закуп компьютерного оборудования, согласно заявке № 109/21 ОТ 28.04.2021г.",28.04.2021 16:00,04.05.2021 16:01,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
68," Закуп товаров, работ или услуг (ТРУ) на модернизацию системы ВКС и перенос видео-стены АО ""КБТУ"", согласно заявке № 107/21 от 23.04.2021г.",27.04.2021 14:30,30.04.2021 14:30,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
69, Закуп Учебного лабораторного комплекса «ФИЗИЧЕСКАЯ И КОЛЛОИДНАЯ ХИМИЯ» для НОЦ ХИ на основании заявки 106/21 от 19.04.2021 г.,27.04.2021 12:30,30.04.2021 12:30,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
70," Закуп работ по ремонту печи для ФГиГ АО ""КБТУ"", согласно заявке №99/21 от 12.04.2021г.",26.04.2021 18:00,29.04.2021 18:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
71," Закуп лабораторного оборудования для ФГиГ АО ""КБТУ"", согласно заявке №99/21 от 12.04.2021г.",26.04.2021 17:50,29.04.2021 17:50,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
72," Заявка на закуп услуг аренды Led экрана, согласно заявке №105/21 от 19.04.21г.",19.04.2021 15:30,22.04.2021 15:31,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
